Wall time,Step,Value
1562137697.47966,1546,646.1333618164062
1562137706.4448876,2141,117.0
1562137750.164885,4718,1000.1333618164062
1562137781.0719798,6333,623.0333251953125
1562137802.4037983,7683,1064.3333740234375
1562137822.7462208,9125,636.2666625976562
1562137831.5232677,9767,83.96666717529297
1562137849.4973717,10879,286.5666809082031
1562137863.3497727,11773,104.30000305175781
1562137881.8848267,13012,538.2999877929688
1562137891.78197,13661,112.80000305175781
1562137920.1185374,15541,999.933349609375
1562137939.7432945,16820,389.20001220703125
1562137954.693978,17780,286.0333251953125
1562137967.2265568,18530,127.83333587646484
1562137971.8592448,18804,1.2999999523162842
1562137980.9291544,19364,57.266666412353516
1562137999.99065,20774,469.5333251953125
1562138006.9968626,21207,130.8333282470703
1562138028.458426,22633,549.2333374023438
1562138037.661749,23270,214.56666564941406
1562138071.936179,25233,1062.5
1562138088.5199785,26375,482.23333740234375
1562138100.6251333,27248,199.96665954589844
1562138112.738792,28024,165.3000030517578
1562138126.6887946,29033,335.6666564941406
1562138149.884496,30645,466.79998779296875
1562138159.7734845,31290,247.3000030517578
1562138177.7782388,32483,427.9333190917969
1562138203.987185,34190,1033.5333251953125
1562138218.8626084,35145,291.0666809082031
1562138240.0742092,36607,276.79998779296875
1562138258.956913,37821,448.20001220703125
1562138269.4908955,38522,105.4000015258789
1562138278.7933624,39128,116.23332977294922
1562138289.2139912,39813,116.0
1562138303.2173426,40804,460.1000061035156
1562138328.7090309,42431,622.5999755859375
1562138345.1884632,43467,394.26666259765625
1562138354.429096,44093,-7.666666507720947
1562138356.3705957,44194,-106.5999984741211
1562138369.0087936,45062,220.56666564941406
1562138389.3178406,46434,497.3333435058594
1562138400.6025229,47194,225.8333282470703
1562138413.1839974,48027,-34.5
1562138424.1787498,48704,474.6333312988281
1562138448.9918532,50404,482.6000061035156
1562138464.4406288,51429,359.5
1562138487.627031,52866,267.29998779296875
1562138511.349121,54402,1017.5
1562138518.1285121,54829,-49.86666488647461
1562138527.878032,55449,146.8000030517578
1562138553.0904038,56933,662.8666381835938
1562138565.9208548,57748,237.86666870117188
1562138582.6682265,58832,387.26666259765625
1562138592.680157,59465,238.39999389648438
1562138601.797303,60076,101.46666717529297
1562138634.7104294,62138,777.8666381835938
1562138658.2239819,63703,556.4000244140625
1562138668.7872279,64435,202.39999389648438
1562138716.8049226,67465,969.2999877929688
1562138749.9741263,69707,1090.300048828125
1562138758.903223,70295,118.69999694824219
1562138788.4783757,72318,1081.13330078125
1562138795.6009054,72834,98.9000015258789
1562138824.1562276,74804,1005.433349609375
1562138841.0262203,75897,341.6333312988281
1562138875.2030501,78149,1018.2333374023438
1562138896.9799407,79598,1022.2000122070312
1562138912.9456847,80654,390.20001220703125
1562138940.332486,82466,1069.0
1562138962.6203306,83891,742.8666381835938
1562138994.7288966,85991,1036.0999755859375
1562138998.996198,86282,-1.5
1562139010.550381,87084,215.1666717529297
1562139036.126163,88582,450.8999938964844
1562139045.2990744,89126,67.83333587646484
