Wall time,Step,Value
1562137780.8357053,1825,1028.699951171875
1562137809.4721193,3535,1000.066650390625
1562137833.725693,5071,86.0
1562137843.9269953,5788,89.56666564941406
1562137854.8986375,6553,76.66666412353516
1562137875.4321418,8024,746.2000122070312
1562137877.4614403,8125,-105.5999984741211
1562137896.168022,9410,1000.5333251953125
1562137909.946478,10284,223.93333435058594
1562137932.2583575,11726,1019.2666625976562
1562137971.6324344,14226,1000.5
1562138003.8160694,16301,1000.2000122070312
1562138016.8169162,17186,79.33333587646484
1562138022.072859,17483,-109.33333587646484
1562138037.28642,18522,227.46665954589844
1562138060.7207932,20143,465.8666687011719
1562138088.8357267,21854,1096.9666748046875
1562138107.2887833,23042,472.29998779296875
1562138128.5385852,24674,458.8999938964844
1562138130.2552037,24775,-106.5999984741211
1562138156.4980047,26359,1076.699951171875
1562138158.7269535,26459,-106.5
1562138193.2661653,28716,1019.0
1562138201.6465943,29313,85.13333129882812
1562138203.3902733,29414,-106.5999984741211
1562138223.4847484,30838,478.9333190917969
1562138236.7300951,31733,88.33333587646484
1562138266.3276482,33703,1027.86669921875
1562138288.3499672,35272,475.6333312988281
1562138303.11561,36393,518.566650390625
1562138325.504965,37801,1085.3333740234375
1562138372.1398075,40697,1000.5999755859375
1562138400.0244668,42392,1063.699951171875
1562138409.0630846,43142,48.5
1562138427.494986,44355,358.8333435058594
1562138434.6992128,44844,-78.4000015258789
1562138469.4806986,46997,1000.3666381835938
1562138472.1764266,47125,-109.30000305175781
1562138497.4017785,48856,502.23333740234375
1562138518.0117617,50278,373.1666564941406
1562138519.9435656,50379,-106.5999984741211
1562138522.0113983,50480,-106.5999984741211
1562138535.6225092,51452,51.29999923706055
1562138557.9352713,52974,709.7666625976562
1562138572.4862037,54003,529.6666870117188
1562138574.757439,54104,-105.5999984741211
1562138590.127299,55040,1098.300048828125
1562138599.4522278,55749,428.76666259765625
1562138607.507923,56369,73.16666412353516
1562138619.6377504,57221,72.96666717529297
1562138634.8393033,58278,310.8666687011719
1562138636.813106,58379,-106.5999984741211
1562138645.8379953,59025,83.9000015258789
1562138656.9871016,59798,125.4000015258789
1562138658.7320676,59899,-106.5999984741211
1562138681.1550827,61491,488.79998779296875
1562138683.3128474,61592,-106.5999984741211
1562138705.4057443,62983,1037.2667236328125
1562138707.976028,63084,-106.5999984741211
1562138722.4793687,64016,247.60000610351562
1562138759.109799,66519,924.9000244140625
1562138781.8135166,68021,1018.6333618164062
1562138793.9211745,68892,138.8333282470703
1562138796.3498473,68993,-106.5999984741211
1562138810.06996,69936,315.5
1562138826.8146646,71208,369.0333251953125
1562138861.5843105,73339,1000.566650390625
1562138885.1468995,74900,629.7999877929688
1562138896.8215854,75702,85.83333587646484
1562138926.185774,77713,820.1666870117188
1562138954.917657,79601,449.5333251953125
1562138969.5625541,80601,343.3666687011719
1562138974.0422964,80890,-88.33333587646484
1562138975.909556,80991,-106.5999984741211
1562138987.2493453,81799,84.69999694824219
1562139015.6332357,83531,1095.0
1562139029.09007,84453,322.1333312988281
1562139049.2500322,85822,670.066650390625
1562139064.013392,86763,321.8999938964844
1562139092.7228377,88615,1090.199951171875
1562139107.0346172,89692,272.73333740234375
1562139108.6679566,89793,-106.5999984741211
